timestamp,user_name,qid,status,level
2025-10-13 10:10:39,김진호,d34670aa96b1,blank,중
2025-10-13 10:10:42,김진호,43d6c9686fcf,blank,하
2025-10-13 10:10:49,김진호,d318f548acd0,blank,중
2025-10-22 19:23:08,김진호,d34670aa96b1,blank,중
2025-10-22 19:31:28,김진호,43d6c9686fcf,blank,하
2025-10-22 19:31:29,김진호,fd0438c9c57b,blank,상
2025-10-22 19:31:29,김진호,d318f548acd0,blank,중
2025-10-22 19:31:30,김진호,d34670aa96b1,blank,중
2025-10-22 19:31:50,김진호,fd0438c9c57b,blank,상
2025-10-22 19:31:50,김진호,43d6c9686fcf,blank,하
2025-10-22 19:31:50,김진호,d34670aa96b1,blank,중
2025-10-22 19:31:51,김진호,d318f548acd0,blank,중
2025-10-22 19:52:24,김진호,d318f548acd0,wrong,중
2025-11-04 00:17:37,김진호,d34670aa96b1,correct,중
2025-11-04 00:17:45,김진호,fd0438c9c57b,wrong,상
2025-11-04 00:17:56,김진호,d318f548acd0,wrong,중
2025-11-04 00:17:59,김진호,43d6c9686fcf,wrong,하
2025-11-04 00:19:07,김진호,fd0438c9c57b,wrong,상
2025-11-04 00:19:14,김진호,43d6c9686fcf,wrong,하
